"HolderAddress","Balance","PendingBalanceUpdate"
"0xa198f09c8bdec0a70e6992083e71a7c97f7500b5","48589506700740","No"
"0x0000000000000000000000000000000299792458","527657219751296","No"
"0xaac36a40a132472772c2bc410fcc275cc1b1df04","6511354886958.93","No"
"0x3362666084c1871fa8549bbf431bb5c7f45b9961","2748635891596.47","No"
"0x4799b0d36b421df620dafebde3ba19c2c2c2fc5c","49906207024588.2","No"
"0x73fa502f92d767f7cf1a3024dd28ea0662d2eb1c","209652928.505763","No"
"0xe4e79248c36b6cb3670f63a39017efc60f0f80d9","2811607778908.2","No"
"0x8d662ddc4234b578114adfb581b64e257d038a45","2450839684533.5","No"
"0xf314eb2e373ea98ac50707baf646eec8567521c9","19994617.7958392","No"
"0x5ba8f029be54d7324b1aa9f3fffc1955540562e3","22488080.567153","No"
"0xdcdb52f336ed4e0577f2ab6b298269aaf20a1ec1","5758211485663.45","No"
"0x0706dda5d913b10c0bf73f1beee6e1e9fdf6633b","31852146.5113126","No"
"0x24dd6d30755bfa902c0e06102c5c1eaf517ec67e","1781014096.66704","No"
"0x7d9182b28b48a48745719a9d451a27b41c83fd79","251757237.605296","No"
"0x3cb1016f5ce5561aa92dbe05c90d3e76140a4291","952221.537268999","No"
"0xb4fe4dcec9def3500fcb47966c9c91aa8c3f946e","14359191066.65","No"
"0xade3fd2a4162872669ffe6eba36f2c90be67e519","9505741945336.19","No"
"0xa69679e937ed7ce939d9b85c395e5d25b1ab962d","1682793119481.24","No"
"0x96aa4420356893bf434e02f0d34d59b61c3fbe4a","33716049429.1958","No"
"0xf13f61172190be77c2cd9941c028026fb507df0e","61539806.7819954","No"
"0xcaaa77bfa569b70ce51e01eac1941b0a19f7583c","1000239067426.94","No"
"0x01c6fbe8ca77d977070eaa4ce9ee113271824872","64970533.3356512","No"
"0x9ba78edb4292c2f20a6af8612a71297491383ac8","3405207539955.49","No"
"0xed6c103148df7f57de1e3668c0a68a782ab935c3","808640559.771791","No"
"0xe1136888a14b26af361155f03c65780fc8a4917e","1927457962718.94","No"
"0xd8cf3d127db150e075c2b02d80651c23f3b3f442","194418250.283331","No"
"0xb469ecea2236a6b76e9c18668cd60a55e275b1d8","101247156517.341","No"
"0xe27ef42c236e9a6c0498adcd8804ccfb9702a62a","402979428.865704","No"
"0x3af5975f9e265846b77838fa212bd5596521a588","1632933564.5668","No"
"0xe5ff6c3d6d84cb15c5c39feee841546ab172353c","131561931252.145","No"
"0x44e91f2f64bc8213aed253432ff4074008ab8d5f","1090265786.10557","No"
"0xe7802d58698e0f69219b82e140208fc2108fbfbb","43600248.551318","No"
"0x480c7aa3c8e76a9bbf35efee1511fdd9d4287055","166367226741.208","No"
"0x505a0c946e2d61eaa4738c2b7800bc96041e8fd5","680547947.087516","No"
"0xeaafd438c75a105114cc6edf447f77a1fbc0a314","242692354.955389","No"
"0xafc6dfc1cb44e8267f62281b3632795adb6854f4","38972666.9213089","No"
"0x4e0f205f977196d2ce37abcaaf13b9512062548a","4524015073.08693","No"
"0xeb9c8cc70f5c09f14d41add3c7f0e4e56f0beba7","155687960.581306","No"
"0x4e2322deaa9a5f2ff2a4398c0dc3013143ac3f34","131951219.213645","No"
"0x2b0d74a9af9e63e219cee6a9fc8463bd870a8eb3","15750588222.8763","No"
"0x3513fa8280dea2d63f2b78440383a953c98e0449","13575051.3815268","No"
"0xba165b2e016765adc6b9eb3e8e19e5e1fff40487","453395149.205119","No"
"0xb873b43837efa2cb7cd05c4ae406b276dc07cae6","78518974.1095843","No"
"0xc0f51bf5d93e0014ffeded0d11d7cd4ca04dfbf8","445478901.396634","No"
"0x81d7139c4b240d10d59ac4c75cc1e032da2c0538","15773744.3402295","No"
"0xdaed721e31f499b482255be8e8f921fe61e02c6f","389866905.368364","No"
"0x7e7aadf4ad0e7e070ed48dca2227e21cbb1ad6b6","199893167.608956","No"
"0x50b12bcc1efb3b8f97a86998fb7ff75056104ded","69146258.3827513","No"
"0x1a586d340e4eb8cd4b4c75a7fe1786821d43b949","40439506.0233206","No"
"0x35b94f0e9aa2a93e1617ef54a586e1edfe193a32","1006776491976.27","No"
"0x2436edd317f7924a2396ae152ebded78ff950012","222491003.27664","No"
"0x0a25e8b462da351bd6fb0e0c88a68f46537e77cc","29913696.9130062","No"
"0x7ef1a6b6d3130541ba9ed62ff4bb616895db7eb0","15874767.9042096","No"
"0x5d01277d6465ed48311dfa6c57cb2c464116b93d","70498078.0258432","No"
"0x58533c0e0adaf637a4ce07e8621b8c964868d2bd","3642094.97828648","No"
"0x4a07c4dd3aebffeb9e959340d2498a3c60985f9a","11083161.8065987","No"
"0xf7d61355da803c0249a972b22862aae721b2e670","664481414.10287","No"
"0x627bb8c10d24d8b11dcc95796c22fdf658166866","9016926.0770137","No"
"0x038e4baa68951fcafe89e2c7ff9821ec76274451","298208940.507728","No"
"0x9628a9be18afe71748e09e94eaef1710ba7c5742","237797846405.67","No"
"0xeea66a8c81c35cefc8c28273492d8d92e32b00e1","54970010.5412307","No"
"0x7739e2e9683cea7f86989c1c08a2dc3b32e6d321","147958512.265461","No"
"0xf7f83d54c1296ac4fc2013bf3c4f5dcfc3d75f73","258873347.686214","No"
"0x0aa6a30017cd6c0f704968eb9bdb1eb353dcca4e","44701031425.5537","No"
